Open in Excel for Better user experience.,,,,,,,,,,,,,,,,,,,
Optimal Strategy Training,,,,,,,Random Strategy Training,,,,,,,Menace to Menace Strategy Training,,,,,
Time Stamp,Count,Menace Wins,Menace Lose,Draws,Result,,Time Stamp,Count,Menace Wins,Menace Lose,Draws,Result,,Time Stamp,Count,Menace Wins,Menace Lose,Draws,Result
Fri Apr 22 00:34:29 EDT 2022,85,0,40,44, conditionDraw,,Fri Apr 22 00:34:33 EDT 2022,84,59,62,9961, MenaceWins,,Fri Apr 22 00:34:38 EDT 2022,84,9231,191,10659, conditionDraw
Fri Apr 22 00:34:29 EDT 2022,86,0,40,45, conditionDraw,,Fri Apr 22 00:34:33 EDT 2022,85,60,62,9961, MenaceWins,,Fri Apr 22 00:34:38 EDT 2022,85,9231,191,10660, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,87,0,40,46, conditionDraw,,Fri Apr 22 00:34:33 EDT 2022,86,61,62,9961, MenaceWins,,Fri Apr 22 00:34:38 EDT 2022,86,9232,191,10660, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,88,0,40,47, conditionDraw,,Fri Apr 22 00:34:33 EDT 2022,87,62,62,9961, conditionDraw,,Fri Apr 22 00:34:38 EDT 2022,87,9233,191,10660, conditionDraw
Fri Apr 22 00:34:29 EDT 2022,89,0,40,48, conditionDraw,,Fri Apr 22 00:34:33 EDT 2022,88,62,62,9962, MenaceWins,,Fri Apr 22 00:34:38 EDT 2022,88,9233,191,10661, conditionDraw
Fri Apr 22 00:34:29 EDT 2022,90,0,40,49, conditionDraw,,Fri Apr 22 00:34:33 EDT 2022,89,63,62,9962, HumanWins,,Fri Apr 22 00:34:38 EDT 2022,89,9233,191,10662, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,91,0,40,50, conditionDraw,,Fri Apr 22 00:34:33 EDT 2022,90,63,63,9962, MenaceWins,,Fri Apr 22 00:34:38 EDT 2022,90,9234,191,10662, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,92,0,40,51, conditionDraw,,Fri Apr 22 00:34:33 EDT 2022,91,64,63,9962, MenaceWins,,Fri Apr 22 00:34:38 EDT 2022,91,9235,191,10662, conditionDraw
Fri Apr 22 00:34:29 EDT 2022,93,0,40,52, conditionDraw,,Fri Apr 22 00:34:33 EDT 2022,92,65,63,9962, MenaceWins,,Fri Apr 22 00:34:38 EDT 2022,92,9235,191,10663, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,94,0,40,53, conditionDraw,,Fri Apr 22 00:34:33 EDT 2022,93,66,63,9962, MenaceWins,,Fri Apr 22 00:34:38 EDT 2022,93,9236,191,10663, MenaceWins
